dataset,url,date_checked,date_published,records,swe,swe_georef,swe_georef_noissue,taxon_match_none,taxon_match_higher_rank,taxon_match_fuzzy,dataset_sv
Invertebrates of the Gothenburg Natural History Museum (GNM),http://doi.org/10.15468/v0gwot,2016-04-01,2016-01-05,46710,36803,0,0,0,489,791,Göteborg: evertebrater
Gothenburg Herbarium – General (GBIF:IH:GB:Herbarium),http://doi.org/10.15468/afkfpi,2016-04-01,2016-01-05,151334,101320,101317,97495,28,4352,429,"Göteborg: herbarium, allmänt"
Gothenburg Herbarium – Types (GBIF:IH:GB:Herbarium),http://doi.org/10.15468/9hacmg,2016-04-01,2016-01-05,2217,128,128,114,0,23,8,"Göteborg: herbarium, typer"
Vertebrates of the Gothenburg Natural History Museum (GNM),http://doi.org/10.15468/xmrfet,2016-04-01,2016-01-07,55816,27240,0,0,0,235,18,Göteborg: ryggradsdjur
Lund Botanical Museum (LD),http://doi.org/10.15468/c4w4co,2016-04-01,2016-02-25,777837,549862,533277,531998,423,39322,2893,Lund: botanik
Lund Museum of Zoology (MZLU),http://doi.org/10.15468mw39rb,2016-04-13,2010-05-04,159024,91217,11957,11871,865,709,551,Lund: zoologi (ej insekter)
OHN,http://doi.org/10.15468/u5wjib,2016-04-01,2016-01-07,146809,133226,133226,127897,11,7993,476,Oskarshamns herbarium
Algae (S),http://doi.org/10.15468/pqxsbz,2016-04-01,2016-01-05,15953,5211,4027,3283,623,274,30,Stockholm: alger
"Entomological Collections (NHRS), Swedish Museum of Natural History (NRM)",http://doi.org/10.15468/fpzyjx,2016-04-01,2016-03-31,100658,44878,32875,32528,0,2007,684,Stockholm: entomologi
Invertebrates Collection of the Swedish Museum of Natural History,http://doi.org/10.15468/eyda6l,2016-04-01,2016-01-05,144765,44496,34200,33158,296,893,395,Stockholm: evertebrater
NRM-Fishes,http://doi.org/10.15468/d7eitf,2016-04-01,,51499,10864,10316,10062,0,138,9,Stockholm: fiskar
Phanerogamic Botanical Collections (S),http://doi.org/10.15468/yo3mmu,2016-04-01,2016-01-07,1030627,645103,2232,2095,10347,61744,5893,Stockholm: kärlväxter
Mosses (S),http://doi.org/10.15468/yhyc17,2016-04-01,2016-01-07,209691,109603,95717,82469,3052,9584,391,Stockholm: mossor
Fungi (S),http://doi.org/10.15468/qfmb77,2016-04-01,2016-01-05,327284,159924,145255,133478,2367,2409,451,Stockholm: svampar
Botany (UPS),http://doi.org/10.15468/ufmslw,2016-04-01,2016-01-05,706679,416566,12576,12096,5436,42292,3661,Uppsala: botanik
Zoology (Museum of Evolution – Uppsala),http://doi.org/10.15468/1rofux,2016-04-01,2016-01-07,259949,78163,1452,310,0,6441,1347,Uppsala: zoologi
